FromHost|ToHost|NetworkLatencyMs|ThresholdMs|NetworkLatencyCheckResult
Host-75308|Host-72628|14.16|5|Yellow
Host-75308|Host-73027|14.48|5|Yellow
Host-75308|Host-74319|10.03|5|Yellow
Host-75308|Host-72904|14.45|5|Yellow
Host-75308|Host-75780|64.88|5|Yellow
Host-75308|Host-72947|9.98|5|Yellow
Host-75308|Host-73804|14.43|5|Yellow
Host-75308|Host-73212|69.13|5|Yellow
Host-75308|Host-72689|69.13|5|Yellow
Host-75308|Host-73749|12.03|5|Yellow
Host-75308|Host-74914|14.14|5|Yellow
Host-75308|Host-72802|14.39|5|Yellow
Host-75308|Host-75072|12.03|5|Yellow
Host-75308|Host-72741|5.14|5|Yellow
Host-75308|Host-75502|8.16|5|Yellow
Host-75308|Host-75072|5.01|5|Yellow
Host-73257|Host-73598|18.42|5|Yellow
Host-73257|Host-74107|78.98|5|Yellow
Host-73257|Host-74045|99.42|5|Yellow
Host-73257|Host-73483|80.37|5|Yellow
Host-73257|Host-73695|15.05|5|Yellow
Host-73257|Host-75308|12.59|5|Yellow
Host-73257|Host-72985|12.49|5|Yellow
Host-73257|Host-73071|45.61|5|Yellow
Host-73257|Host-75502|12.61|5|Yellow
Host-73257|Host-74637|12.53|5|Yellow
Host-73257|Host-72858|81.44|5|Yellow
Host-73257|Host-73867|14.96|5|Yellow
Host-73257|Host-74319|36.26|5|Yellow
Host-73257|Host-72904|5.58|5|Yellow
Host-73257|Host-75780|98.14|5|Yellow
Host-73257|Host-72947|12.41|5|Yellow
Host-73257|Host-73804|44.29|5|Yellow
Host-73257|Host-73212|99.21|5|Yellow
Host-73257|Host-72689|101.25|5|Yellow
Host-73257|Host-74914|44.29|5|Yellow
Host-73257|Host-72802|39.21|5|Yellow
Host-73257|Host-73695|5.73|5|Yellow
Host-73257|Host-72985|6.02|5|Yellow
Host-73257|Host-75502|5.69|5|Yellow
Host-73257|Host-73804|5.88|5|Yellow
Host-73257|Host-72689|5.30|5|Yellow
Host-73598|Host-72741|13.49|5|Yellow
Host-73598|Host-75072|13.45|5|Yellow
Host-73598|Host-74914|14.43|5|Yellow
Host-73598|Host-73749|14.34|5|Yellow
Host-73598|Host-72689|14.36|5|Yellow
Host-73598|Host-73212|14.53|5|Yellow
Host-73598|Host-73804|14.51|5|Yellow
Host-73598|Host-72947|14.18|5|Yellow
Host-73598|Host-75780|14.51|5|Yellow
Host-73598|Host-72904|14.60|5|Yellow
Host-73598|Host-73027|20.21|5|Yellow
Host-73598|Host-72628|20.24|5|Yellow
Host-73598|Host-73867|14.29|5|Yellow
Host-73598|Host-72858|20.20|5|Yellow
Host-73598|Host-74637|14.58|5|Yellow
Host-73598|Host-73644|14.53|5|Yellow
Host-73598|Host-75502|8.73|5|Yellow
Host-73598|Host-73071|20.09|5|Yellow
Host-73598|Host-72985|13.06|5|Yellow
Host-73598|Host-75308|18.75|5|Yellow
Host-73598|Host-73695|14.38|5|Yellow
Host-73598|Host-73257|14.54|5|Yellow
Host-73598|Host-73483|14.50|5|Yellow
Host-73598|Host-74045|6.46|5|Yellow
Host-73598|Host-74107|14.62|5|Yellow
Host-73598|Host-73922|20.11|5|Yellow
Host-74045|Host-73598|123.84|5|Yellow
Host-74045|Host-73922|104.81|5|Yellow
Host-74045|Host-74107|165.21|5|Yellow
Host-74045|Host-73483|165.26|5|Yellow
Host-74045|Host-73257|104.76|5|Yellow
Host-74045|Host-73695|104.86|5|Yellow
Host-74045|Host-75308|104.66|5|Yellow
Host-74045|Host-72985|104.57|5|Yellow
Host-74045|Host-73071|123.76|5|Yellow
Host-74045|Host-74353|104.65|5|Yellow
Host-74045|Host-75502|104.80|5|Yellow
Host-74045|Host-73644|104.76|5|Yellow
Host-74045|Host-74637|104.58|5|Yellow
Host-74045|Host-72858|165.10|5|Yellow
Host-74045|Host-73867|104.61|5|Yellow
Host-74045|Host-72628|104.62|5|Yellow
Host-74045|Host-73027|104.58|5|Yellow
Host-74045|Host-74319|123.39|5|Yellow
Host-74045|Host-72904|104.52|5|Yellow
Host-74045|Host-72947|104.44|5|Yellow
Host-74045|Host-73804|123.47|5|Yellow
Host-74045|Host-72689|6.23|5|Yellow
Host-74045|Host-73749|104.48|5|Yellow
Host-74045|Host-74914|123.42|5|Yellow
Host-74045|Host-72802|123.36|5|Yellow
Host-74045|Host-75072|104.42|5|Yellow
Host-74045|Host-72741|104.43|5|Yellow
Host-74045|Host-73257|5.29|5|Yellow
Host-74045|Host-73071|5.07|5|Yellow
Host-74045|Host-74353|5.12|5|Yellow
Host-74045|Host-73644|5.19|5|Yellow
Host-74045|Host-74637|5.21|5|Yellow
Host-74045|Host-72858|5.13|5|Yellow
Host-74045|Host-73867|5.07|5|Yellow
Host-74045|Host-72628|5.19|5|Yellow
Host-74045|Host-73027|5.14|5|Yellow
Host-74045|Host-74319|7.31|5|Yellow
Host-74045|Host-72904|5.13|5|Yellow
Host-74045|Host-72947|6.46|5|Yellow
Host-74045|Host-73749|5.08|5|Yellow
Host-74045|Host-75072|5.02|5|Yellow
Host-74045|Host-72741|5.03|5|Yellow
Host-74107|Host-72741|67.07|5|Yellow
Host-74107|Host-75072|77.53|5|Yellow
Host-74107|Host-72802|139.07|5|Yellow
Host-74107|Host-74914|139.15|5|Yellow
Host-74107|Host-73749|92.36|5|Yellow
Host-74107|Host-72689|157.96|5|Yellow
Host-74107|Host-73212|157.93|5|Yellow
Host-74107|Host-73804|139.10|5|Yellow
Host-74107|Host-72947|91.68|5|Yellow
Host-74107|Host-75780|157.75|5|Yellow
Host-74107|Host-72904|99.85|5|Yellow
Host-74107|Host-74319|121.22|5|Yellow
Host-74107|Host-73027|99.79|5|Yellow
Host-74107|Host-72628|99.83|5|Yellow
Host-74107|Host-73867|99.83|5|Yellow
Host-74107|Host-74637|99.82|5|Yellow
Host-74107|Host-73644|91.70|5|Yellow
Host-74107|Host-75502|99.83|5|Yellow
Host-74107|Host-74353|99.76|5|Yellow
Host-74107|Host-73071|138.98|5|Yellow
Host-74107|Host-72985|99.68|5|Yellow
Host-74107|Host-75308|99.52|5|Yellow
Host-74107|Host-73695|99.79|5|Yellow
Host-74107|Host-73257|99.68|5|Yellow
Host-74107|Host-73483|7.21|5|Yellow
Host-74107|Host-74045|157.66|5|Yellow
Host-74107|Host-73922|92.09|5|Yellow
Host-74107|Host-73598|121.04|5|Yellow
Host-74107|Host-72802|5.53|5|Yellow
Host-74107|Host-74914|5.51|5|Yellow
Host-74107|Host-73749|5.63|5|Yellow
Host-74107|Host-72689|5.55|5|Yellow
Host-74107|Host-73212|5.55|5|Yellow
Host-74107|Host-73804|8.54|5|Yellow
Host-74107|Host-72904|5.62|5|Yellow
Host-74107|Host-74319|5.51|5|Yellow
Host-74107|Host-73867|5.35|5|Yellow
Host-74107|Host-75502|7.49|5|Yellow
Host-74107|Host-74353|5.32|5|Yellow
Host-74107|Host-73071|5.12|5|Yellow
Host-74107|Host-73695|5.18|5|Yellow
Host-73922|Host-73598|39.36|5|Yellow
Host-73922|Host-74107|94.20|5|Yellow
Host-73922|Host-74045|111.14|5|Yellow
Host-73922|Host-73483|94.90|5|Yellow
Host-73922|Host-73257|5.14|5|Yellow
Host-73922|Host-73695|16.19|5|Yellow
Host-73922|Host-75308|16.18|5|Yellow
Host-73922|Host-72985|20.73|5|Yellow
Host-73922|Host-73071|52.50|5|Yellow
Host-73922|Host-75502|16.02|5|Yellow
Host-73922|Host-74637|23.79|5|Yellow
Host-73922|Host-72858|97.29|5|Yellow
Host-73922|Host-73867|23.83|5|Yellow
Host-73922|Host-72628|7.00|5|Yellow
Host-73922|Host-74319|60.26|5|Yellow
Host-73922|Host-72904|5.99|5|Yellow
Host-73922|Host-75780|110.15|5|Yellow
Host-73922|Host-72947|18.17|5|Yellow
Host-73922|Host-73804|51.59|5|Yellow
Host-73922|Host-73212|111.39|5|Yellow
Host-73922|Host-72689|113.59|5|Yellow
Host-73922|Host-74914|50.20|5|Yellow
Host-73922|Host-72802|62.06|5|Yellow
Host-73922|Host-75502|17.80|5|Yellow
Host-73922|Host-72947|5.17|5|Yellow
Host-73922|Host-72802|6.14|5|Yellow
Host-74319|Host-72741|18.71|5|Yellow
Host-74319|Host-75072|12.37|5|Yellow
Host-74319|Host-74914|37.49|5|Yellow
Host-74319|Host-73749|13.81|5|Yellow
Host-74319|Host-72689|16.69|5|Yellow
Host-74319|Host-73212|16.86|5|Yellow
Host-74319|Host-73804|49.33|5|Yellow
Host-74319|Host-72947|24.07|5|Yellow
Host-74319|Host-75780|48.66|5|Yellow
Host-74319|Host-72904|18.65|5|Yellow
Host-74319|Host-73027|18.81|5|Yellow
Host-74319|Host-72628|18.93|5|Yellow
Host-74319|Host-73867|14.23|5|Yellow
Host-74319|Host-72858|14.03|5|Yellow
Host-74319|Host-74637|13.74|5|Yellow
Host-74319|Host-73644|14.11|5|Yellow
Host-74319|Host-75502|14.17|5|Yellow
Host-74319|Host-74353|13.84|5|Yellow
Host-74319|Host-73071|18.72|5|Yellow
Host-74319|Host-72985|16.74|5|Yellow
Host-74319|Host-75308|13.88|5|Yellow
Host-74319|Host-73695|14.26|5|Yellow
Host-74319|Host-73257|13.96|5|Yellow
Host-74319|Host-73483|18.70|5|Yellow
Host-74319|Host-74045|48.59|5|Yellow
Host-74319|Host-74107|16.89|5|Yellow
Host-74319|Host-73922|14.03|5|Yellow
